,Age,Income,Emp_length,Amount,Rate,Status,Percent_income,Cred_length,Home_MORTGAGE,Home_OTHER,Home_OWN,Home_RENT,Intent_DEBTCONSOLIDATION,Intent_EDUCATION,Intent_HOMEIMPROVEMENT,Intent_MEDICAL,Intent_PERSONAL,Intent_VENTURE,Default_N,Default_Y
50,23,78000,7.0,30000,18.62,1,0.38,3,0,0,0,1,1,0,0,0,0,0,0,1
51,23,92004,6.0,30000,15.23,1,0.33,3,0,0,0,1,0,0,0,0,1,0,0,1
52,23,97000,7.0,30000,10.65,1,0.31,2,0,0,0,1,0,0,0,0,0,1,1,0
53,25,120000,9.0,30000,7.9,0,0.25,4,0,0,0,1,0,1,0,0,0,0,1,0
54,26,280000,4.0,10000,15.96,0,0.04,3,0,0,0,1,0,0,0,0,1,0,0,1
55,26,277104,0.0,20000,11.48,0,0.07,3,0,0,0,1,0,0,0,0,0,1,1,0
56,23,277000,3.0,35000,11.011647430239664,0,0.13,4,0,0,1,0,0,0,0,0,1,0,1,0
57,25,128000,9.0,30000,7.29,0,0.23,4,0,0,0,1,0,0,0,0,1,0,1,0
58,24,12000,2.0,1750,11.011647430239664,0,0.15,3,0,0,1,0,0,0,0,0,0,1,0,1
59,21,131000,0.0,30000,5.99,0,0.23,4,0,0,0,1,0,0,0,0,0,1,1,0
60,22,275000,6.0,12000,11.58,0,0.04,2,0,0,1,0,0,0,0,0,0,1,1,0
61,26,263000,0.0,10000,11.011647430239664,1,0.04,4,1,0,0,0,0,1,0,0,0,0,1,0
62,25,221850,9.0,25000,15.7,1,0.1,2,1,0,0,0,0,0,0,1,0,0,1,0
63,22,70000,6.0,29100,15.99,1,0.42,3,0,0,0,1,0,1,0,0,0,0,1,0
64,22,12000,7.0,1500,14.84,0,0.13,3,1,0,0,0,0,1,0,0,0,0,0,1
65,26,260000,10.0,28000,10.99,0,0.11,3,0,0,1,0,0,0,1,0,0,0,1,0
66,25,259000,9.0,20000,14.42,0,0.08,2,1,0,0,0,0,0,1,0,0,0,0,1
67,24,255000,9.0,9600,6.99,0,0.04,2,1,0,0,0,0,1,0,0,0,0,1,0
68,25,250000,2.0,25000,13.49,0,0.1,4,0,0,0,1,0,0,0,1,0,0,1,0
69,25,12000,0.0,3000,11.011647430239664,1,0.25,3,0,0,1,0,0,0,0,1,0,0,1,0
70,22,56950,6.0,28000,11.011647430239664,1,0.49,2,0,0,0,1,0,0,0,1,0,0,1,0
71,21,12000,6.0,3000,13.61,1,0.25,3,0,0,1,0,0,1,0,0,0,0,0,1
72,23,65000,2.0,28000,7.9,1,0.43,2,0,0,0,1,0,1,0,0,0,0,1,0
73,26,85000,2.0,28000,7.49,1,0.33,3,0,0,0,1,0,0,0,0,0,1,1,0
74,26,12000,2.0,6100,7.51,1,0.51,3,0,0,1,0,0,1,0,0,0,0,1,0
75,22,88000,6.0,28000,9.91,1,0.32,3,0,0,0,1,0,0,0,0,0,1,1,0
76,21,12000,0.0,4200,13.48,1,0.35,4,0,0,1,0,0,0,0,0,1,0,0,1
77,22,12000,6.0,4750,7.14,1,0.4,2,0,0,1,0,1,0,0,0,0,0,1,0
78,24,83004,0.0,28000,15.99,1,0.34,4,0,0,0,1,0,0,0,0,0,1,0,1
79,24,250000,2.0,18000,12.98,0,0.07,3,0,0,0,1,0,1,0,0,0,0,0,1
80,25,100000,5.0,28000,12.69,0,0.28,3,0,0,0,1,1,0,0,0,0,0,1,0
81,26,110000,10.0,28000,8.9,0,0.25,2,0,0,0,1,0,1,0,0,0,0,1,0
82,26,12000,0.0,2700,11.011647430239664,1,0.23,4,0,0,1,0,1,0,0,0,0,0,1,0
83,22,108000,6.0,28000,11.011647430239664,1,0.26,4,0,0,0,1,0,1,0,0,0,0,1,0
84,23,151200,7.0,28000,11.11,0,0.19,2,0,0,0,1,1,0,0,0,0,0,1,0
85,24,69000,2.0,27600,11.011647430239664,1,0.4,2,0,0,0,1,0,0,1,0,0,0,1,0
86,21,12000,5.0,3250,15.68,1,0.27,3,1,0,0,0,1,0,0,0,0,0,0,1
87,22,70000,4.0,27500,13.06,1,0.39,3,0,0,0,1,0,1,0,0,0,0,0,1
88,22,240000,6.0,25000,11.011647430239664,0,0.1,2,0,0,1,0,0,0,0,0,1,0,1,0
89,26,73200,5.0,27050,15.62,1,0.37,2,0,0,0,1,0,0,0,0,0,1,0,1
90,24,83000,5.0,27000,13.49,1,0.33,2,0,0,0,1,0,0,0,0,1,0,0,1
91,24,73399,0.0,27000,11.011647430239664,1,0.37,3,0,0,0,1,0,0,0,0,0,1,1,0
92,23,62500,7.0,26000,11.71,1,0.42,2,0,0,0,1,0,0,0,1,0,0,1,0
93,23,120000,1.0,25600,12.69,0,0.21,3,0,0,0,1,0,1,0,0,0,0,1,0
94,24,12360,2.0,1600,13.57,0,0.13,3,0,0,1,0,0,0,0,1,0,0,1,0
95,22,60000,0.0,25475,10.99,1,0.42,3,0,0,0,1,0,0,0,0,0,1,1,0
96,25,234000,3.0,20000,14.27,0,0.09,4,1,0,0,0,0,0,0,1,0,0,0,1
97,24,234000,8.0,20000,8.88,0,0.09,4,0,0,1,0,0,0,1,0,0,0,1,0
98,26,234000,10.0,21600,12.18,0,0.09,3,1,0,0,0,0,0,1,0,0,0,1,0
99,25,221004,6.0,11900,14.42,1,0.05,3,1,0,0,0,1,0,0,0,0,0,0,1
100,26,232500,0.0,25000,14.17,0,0.11,2,1,0,0,0,0,0,0,1,0,0,0,1
101,25,230000,5.0,35000,13.99,0,0.15,4,1,0,0,0,0,0,0,1,0,0,1,0
102,23,83000,7.0,25300,10.99,1,0.3,3,0,0,0,1,0,1,0,0,0,0,1,0
103,22,12600,4.782271048394734,2000,5.42,1,0.16,4,1,0,0,0,0,0,0,0,1,0,1,0
104,25,12600,3.0,1750,13.61,0,0.14,3,0,0,1,0,0,0,0,0,1,0,1,0
105,21,42500,3.0,25000,12.73,1,0.59,3,0,0,0,1,0,1,0,0,0,0,0,1
106,24,41000,2.0,25000,11.011647430239664,1,0.61,3,0,0,0,1,0,0,1,0,0,0,1,0
107,25,12816,0.0,3000,12.87,1,0.23,4,0,0,1,0,1,0,0,0,0,0,0,1
108,24,12960,1.0,3650,9.91,1,0.28,3,1,0,0,0,0,0,1,0,0,0,1,0
109,26,226000,4.0,20000,11.49,0,0.09,4,1,0,0,0,0,0,1,0,0,0,1,0
110,25,225000,0.0,30000,19.91,0,0.13,2,1,0,0,0,0,0,1,0,0,0,0,1
111,26,213000,6.0,35000,10.65,1,0.16,2,1,0,0,0,0,1,0,0,0,0,1,0
112,24,225000,0.0,6000,11.011647430239664,0,0.03,4,0,0,0,1,0,0,0,1,0,0,1,0
113,24,12960,0.0,4500,11.83,1,0.35,4,1,0,0,0,1,0,0,0,0,0,1,0
114,23,12996,0.0,2400,13.49,1,0.18,2,0,0,1,0,1,0,0,0,0,0,0,1
115,22,42000,6.0,25000,14.59,1,0.6,2,0,0,0,1,0,0,0,1,0,0,0,1
116,26,48000,2.0,25000,9.64,1,0.52,4,0,0,0,1,0,1,0,0,0,0,1,0
117,25,12996,1.0,3600,14.59,1,0.28,3,0,0,1,0,0,0,0,1,0,0,1,0
118,22,12996,1.0,4750,11.011647430239664,1,0.37,3,0,0,1,0,0,1,0,0,0,0,1,0
119,25,42360,1.0,25000,16.35,1,0.59,3,0,0,0,1,0,1,0,0,0,0,0,1
120,21,49000,4.0,25000,10.99,1,0.51,2,0,0,0,1,0,1,0,0,0,0,1,0
121,25,225000,0.0,25000,18.67,0,0.11,2,1,0,0,0,0,0,0,0,0,1,1,0
122,26,225000,1.0,3000,9.32,0,0.01,4,0,0,0,1,0,1,0,0,0,0,1,0
123,23,225000,8.0,7500,8.63,0,0.03,2,0,0,0,1,1,0,0,0,0,0,1,0
124,26,225000,2.0,25000,10.08,0,0.11,2,1,0,0,0,0,0,0,0,0,1,1,0
125,22,49464,5.0,25000,11.83,1,0.51,3,0,0,0,1,0,0,0,0,1,0,1,0
126,23,50000,1.0,25000,7.9,1,0.5,3,0,0,0,1,1,0,0,0,0,0,1,0
127,25,50000,4.0,25000,5.99,1,0.5,2,0,0,0,1,0,0,1,0,0,0,1,0
128,24,44000,2.0,25000,15.33,1,0.57,2,0,0,0,1,1,0,0,0,0,0,1,0
129,23,50000,1.0,25000,11.83,1,0.5,4,0,0,0,1,0,0,0,0,0,1,1,0
130,22,50004,0.0,25000,10.36,1,0.5,2,0,0,0,1,0,0,0,0,0,1,1,0
131,22,50004,3.0,25000,12.23,1,0.5,3,0,0,0,1,0,0,0,0,0,1,1,0
132,22,52000,2.0,25000,11.11,1,0.48,4,0,0,0,1,0,1,0,0,0,0,1,0
133,23,13200,3.0,4950,7.9,1,0.38,4,0,0,1,0,1,0,0,0,0,0,1,0
134,24,220000,1.0,25000,11.58,0,0.11,2,1,0,0,0,0,1,0,0,0,0,1,0
135,23,216000,5.0,21000,8.9,0,0.1,3,1,0,0,0,1,0,0,0,0,0,1,0
136,25,216000,2.0,25000,16.07,0,0.12,3,1,0,0,0,0,1,0,0,0,0,1,0
137,26,216000,10.0,20000,14.22,0,0.09,2,1,0,0,0,0,1,0,0,0,0,0,1
138,23,215000,7.0,35000,14.79,0,0.16,3,1,0,0,0,0,0,0,1,0,0,0,1
139,26,215000,11.0,12000,7.88,0,0.06,2,1,0,0,0,0,1,0,0,0,0,1,0
140,23,52000,1.0,25000,13.22,1,0.48,2,0,0,0,1,0,0,0,0,1,0,1,0
141,26,46000,2.0,25000,11.86,1,0.54,4,0,0,0,1,1,0,0,0,0,0,1,0
142,22,53000,5.0,25000,13.43,1,0.47,4,0,0,0,1,0,1,0,0,0,0,0,1
143,26,47000,0.0,25000,15.28,1,0.53,2,0,0,0,1,0,0,1,0,0,0,0,1
144,23,47000,1.0,25000,17.93,1,0.53,2,0,0,0,1,0,0,0,0,0,1,1,0
145,23,13200,2.0,1400,9.25,0,0.11,4,1,0,0,0,0,1,0,0,0,0,1,0
146,21,13200,0.0,4500,12.98,1,0.34,4,0,0,1,0,0,0,0,0,0,1,1,0
147,22,210000,6.0,16000,10.62,0,0.08,4,1,0,0,0,0,0,0,0,0,1,1,0
148,26,210000,10.0,22000,11.83,0,0.1,4,0,0,1,0,0,0,0,0,1,0,1,0
149,26,48000,5.0,25000,18.43,1,0.52,2,0,0,0,1,0,0,0,0,0,1,1,0
150,22,54996,6.0,25000,11.011647430239664,1,0.45,4,0,0,0,1,0,1,0,0,0,0,1,0
151,24,55000,4.0,25000,11.011647430239664,1,0.45,4,0,0,0,1,0,0,1,0,0,0,0,1
152,23,55000,4.0,25000,11.36,1,0.45,3,0,0,0,1,0,1,0,0,0,0,1,0
153,23,55000,4.0,25000,15.65,1,0.45,3,0,0,0,1,0,1,0,0,0,0,0,1
154,24,55164,8.0,25000,13.22,1,0.45,4,0,0,0,1,0,0,0,0,1,0,0,1
155,26,56000,4.0,25000,12.87,1,0.45,2,0,0,0,1,1,0,0,0,0,0,1,0
156,24,203500,8.0,20000,13.04,0,0.1,3,0,0,1,0,0,0,0,1,0,0,1,0
157,23,190000,5.0,22000,17.58,1,0.12,3,1,0,0,0,0,1,0,0,0,0,0,1
158,23,13920,2.0,7750,17.04,1,0.56,4,0,0,1,0,0,0,0,0,1,0,1,0
159,24,60000,0.0,25000,10.99,1,0.42,3,0,0,0,1,0,0,0,0,1,0,1,0
160,24,60000,2.0,25000,11.11,1,0.42,3,0,0,0,1,0,0,0,0,1,0,1,0
161,26,54000,7.0,25000,14.83,1,0.46,2,0,0,0,1,1,0,0,0,0,0,0,1
162,23,14000,2.0,4000,11.011647430239664,1,0.29,3,0,0,1,0,1,0,0,0,0,0,1,0
163,24,200000,8.0,12000,12.69,0,0.06,2,0,0,0,1,0,0,0,1,0,0,1,0
164,24,200000,8.0,12000,13.49,0,0.06,2,1,0,0,0,0,0,1,0,0,0,1,0
165,21,200000,5.0,16000,14.65,0,0.08,4,1,0,0,0,0,1,0,0,0,0,1,0
166,25,54000,3.0,25000,16.82,1,0.46,4,0,0,0,1,0,0,1,0,0,0,1,0
167,23,60000,3.0,25000,12.73,1,0.42,3,0,0,0,1,0,0,0,0,1,0,1,0
168,23,60000,7.0,25000,10.25,1,0.42,4,0,0,0,1,0,0,0,0,1,0,1,0
169,21,60000,6.0,25000,10.99,1,0.42,4,0,0,0,1,0,1,0,0,0,0,1,0
170,25,61959,9.0,25000,12.73,1,0.4,2,0,0,0,1,0,0,0,1,0,0,1,0
171,22,56400,2.0,25000,14.96,1,0.44,3,0,0,0,1,0,0,1,0,0,0,0,1
172,23,200000,7.0,28000,11.011647430239664,0,0.14,2,1,0,0,0,0,1,0,0,0,0,1,0
173,21,200000,2.0,25000,13.99,0,0.13,2,1,0,0,0,1,0,0,0,0,0,1,0
174,24,200000,3.0,24000,7.49,0,0.12,4,1,0,0,0,0,0,0,0,0,1,1,0
175,26,200000,4.0,15000,14.79,0,0.07,3,1,0,0,0,0,1,0,0,0,0,1,0
176,25,200000,2.0,15500,11.99,0,0.08,2,1,0,0,0,1,0,0,0,0,0,1,0
177,24,200000,8.0,10000,8.49,0,0.05,4,0,0,0,1,0,1,0,0,0,0,1,0
178,24,66000,3.0,25000,9.91,1,0.38,2,0,0,0,1,0,1,0,0,0,0,1,0
179,22,66000,6.0,25000,13.06,1,0.38,3,0,0,0,1,0,1,0,0,0,0,0,1
180,22,200000,6.0,9000,6.17,0,0.04,4,1,0,0,0,1,0,0,0,0,0,1,0
181,25,200000,5.0,18000,16.32,0,0.09,3,0,0,0,1,0,1,0,0,0,0,1,0
182,25,200000,2.0,12000,10.38,0,0.06,2,1,0,0,0,0,0,0,0,0,1,1,0
183,25,200000,9.0,23050,14.35,0,0.12,3,1,0,0,0,0,0,0,0,1,0,1,0
184,24,200000,8.0,20000,11.011647430239664,0,0.1,3,1,0,0,0,1,0,0,0,0,0,1,0
185,24,60000,2.0,25000,11.011647430239664,1,0.42,2,0,0,0,1,1,0,0,0,0,0,0,1
186,21,14400,0.0,3000,11.011647430239664,1,0.21,4,0,0,1,0,0,0,1,0,0,0,1,0
187,26,66996,10.0,25000,15.21,1,0.37,2,0,0,0,1,0,0,0,0,1,0,0,1
188,23,67000,3.0,25000,7.9,1,0.37,4,0,0,0,1,0,1,0,0,0,0,1,0
189,24,67000,2.0,25000,10.99,1,0.37,3,0,0,0,1,0,0,0,0,0,1,1,0
190,24,68000,5.0,25000,14.09,1,0.37,3,0,0,0,1,0,0,0,0,1,0,0,1
191,25,69000,9.0,25000,17.49,1,0.36,2,0,0,0,1,0,0,0,0,1,0,1,0
192,25,200000,0.0,12000,11.48,0,0.06,3,1,0,0,0,0,1,0,0,0,0,1,0
193,26,188000,10.0,20000,17.74,1,0.11,2,1,0,0,0,0,0,0,0,0,1,1,0
194,26,200000,4.0,3000,13.92,0,0.01,3,1,0,0,0,0,0,0,0,1,0,1,0
195,25,69996,9.0,25000,15.21,1,0.36,3,0,0,0,1,0,1,0,0,0,0,1,0
196,22,14400,2.0,4000,10.99,1,0.28,3,0,0,1,0,0,0,0,1,0,0,1,0
197,24,70000,3.0,25000,11.86,1,0.36,4,0,0,0,1,0,1,0,0,0,0,1,0
198,24,14400,5.0,6000,7.49,1,0.42,3,0,0,1,0,0,0,0,0,1,0,1,0
199,24,56100,7.0,25000,16.49,1,0.38,4,0,0,0,1,0,0,0,1,0,0,1,0
200,25,66000,9.0,25000,15.33,1,0.38,2,0,0,0,1,0,0,0,0,0,1,0,1
201,26,66000,3.0,25000,11.58,1,0.38,4,0,0,0,1,0,0,1,0,0,0,1,0
202,25,14400,7.0,5375,5.79,1,0.37,2,0,0,1,0,0,1,0,0,0,0,1,0
203,25,72612,9.0,25000,13.11,1,0.34,2,0,0,0,1,0,0,0,1,0,0,1,0
204,23,74000,3.0,25000,10.36,1,0.34,3,0,0,0,1,0,0,0,1,0,0,1,0
205,25,75000,9.0,25000,10.36,1,0.33,2,0,0,0,1,1,0,0,0,0,0,1,0
206,24,192000,0.0,22000,11.011647430239664,0,0.11,2,0,0,0,1,0,0,0,1,0,0,0,1
207,25,191000,1.0,10000,12.53,0,0.05,4,1,0,0,0,0,0,0,1,0,0,1,0
208,26,190300,5.0,15000,11.011647430239664,0,0.08,3,1,0,0,0,0,0,0,0,1,0,1,0
209,22,190000,3.0,10000,11.011647430239664,0,0.05,3,1,0,0,0,0,0,0,0,0,1,1,0
210,24,75000,4.0,25000,10.25,1,0.33,4,0,0,0,1,0,1,0,0,0,0,1,0
211,22,71000,1.0,25000,15.95,1,0.35,4,0,0,0,1,0,1,0,0,0,0,0,1
212,26,190000,3.0,20000,12.18,0,0.11,4,1,0,0,0,0,0,0,0,0,1,1,0
213,23,189996,0.0,24000,11.83,0,0.13,3,0,0,1,0,0,0,0,0,1,0,1,0
214,23,78000,7.0,25000,11.011647430239664,1,0.32,2,0,0,0,1,1,0,0,0,0,0,0,1
215,23,78000,1.0,25000,10.62,1,0.32,3,0,0,0,1,0,0,0,0,0,1,1,0
216,23,78504,7.0,25000,10.74,1,0.32,3,0,0,0,1,0,0,0,0,0,1,1,0
217,25,186000,9.0,10000,10.25,0,0.05,4,0,0,1,0,0,0,0,0,0,1,1,0
218,24,185000,4.782271048394734,35000,12.42,0,0.19,2,1,0,0,0,0,1,0,0,0,0,1,0
219,25,185000,6.0,15000,15.27,0,0.08,2,0,0,0,1,0,0,0,0,0,1,1,0
220,24,62050,8.0,25000,15.33,1,0.34,2,0,0,0,1,0,0,0,1,0,0,0,1
221,23,79416,7.0,25000,15.21,1,0.31,2,0,0,0,1,0,0,0,0,0,1,0,1
222,21,14400,4.0,6250,14.72,1,0.43,2,0,0,1,0,0,0,0,0,0,1,1,0
223,24,79631,8.0,25000,15.7,1,0.31,2,0,0,0,1,0,0,0,0,1,0,0,1
224,24,79632,0.0,25000,13.35,1,0.31,4,0,0,0,1,0,1,0,0,0,0,1,0
225,21,14400,0.0,1500,11.011647430239664,0,0.1,4,1,0,0,0,0,0,0,1,0,0,1,0
226,24,80000,6.0,25000,6.62,1,0.31,2,0,0,0,1,0,1,0,0,0,0,1,0
227,26,80000,5.0,25000,13.61,1,0.31,4,0,0,0,1,1,0,0,0,0,0,1,0
228,22,185000,4.0,25000,11.36,0,0.14,2,0,0,0,1,0,0,0,1,0,0,1,0
229,26,185000,10.0,5000,7.68,0,0.03,2,0,0,1,0,0,0,0,0,1,0,1,0
230,24,184992,7.0,22000,14.46,0,0.12,4,0,0,0,1,0,0,1,0,0,0,0,1
231,23,184000,5.0,2500,11.83,0,0.01,2,0,0,1,0,0,1,0,0,0,0,1,0
232,24,172000,6.0,20000,13.47,1,0.12,4,1,0,0,0,1,0,0,0,0,0,0,1
233,24,183000,2.0,20000,11.49,0,0.11,3,1,0,0,0,0,0,0,1,0,0,1,0
234,22,183000,3.0,1000,11.011647430239664,0,0.01,2,1,0,0,0,0,1,0,0,0,0,1,0
235,25,182952,9.0,15000,6.03,0,0.08,3,1,0,0,0,0,0,0,0,1,0,1,0
236,23,74004,7.0,25000,16.35,1,0.34,4,0,0,0,1,1,0,0,0,0,0,1,0
237,26,74004,10.0,25000,11.011647430239664,1,0.34,4,0,0,0,1,1,0,0,0,0,0,0,1
238,25,81000,5.0,25000,7.29,1,0.31,3,0,0,0,1,1,0,0,0,0,0,1,0
239,23,81600,1.0,25000,11.36,1,0.31,3,0,0,0,1,0,0,0,1,0,0,1,0
240,24,82000,8.0,25000,10.25,0,0.3,2,0,0,0,1,0,0,0,0,0,1,1,0
241,24,83000,5.0,25000,11.12,0,0.3,3,0,0,0,1,0,1,0,0,0,0,1,0
242,24,83000,5.0,25000,12.92,0,0.3,3,0,0,0,1,0,0,0,0,1,0,0,1
243,24,180000,8.0,18000,18.64,0,0.1,4,0,0,0,1,0,1,0,0,0,0,0,1
244,23,180000,8.0,28000,7.51,0,0.16,3,1,0,0,0,0,0,0,0,1,0,1,0
245,23,14400,2.0,4000,16.7,1,0.28,2,0,0,1,0,0,0,1,0,0,0,1,0
246,22,14400,0.0,2100,11.14,0,0.15,4,0,0,1,0,0,0,0,0,1,0,1,0
247,22,84500,6.0,25000,18.3,0,0.3,4,0,0,0,1,0,0,0,0,1,0,1,0
248,24,85000,5.0,25000,10.62,0,0.29,4,0,0,0,1,0,0,0,1,0,0,1,0
249,24,180000,7.0,14000,11.99,0,0.08,2,1,0,0,0,0,0,0,0,0,1,1,0
250,26,180000,2.0,12000,9.63,0,0.07,4,1,0,0,0,0,0,0,0,0,1,1,0
251,25,142800,9.0,10000,18.25,1,0.06,4,1,0,0,0,0,0,0,1,0,0,1,0
252,23,14664,0.0,6000,11.011647430239664,1,0.41,4,1,0,0,0,1,0,0,0,0,0,1,0
253,24,87000,8.0,25000,14.84,0,0.29,3,0,0,0,1,0,0,1,0,0,0,1,0
254,24,75000,0.0,25000,14.7,1,0.33,3,0,0,0,1,0,0,0,0,0,1,0,1
255,23,76000,7.0,25000,16.02,1,0.33,4,0,0,0,1,1,0,0,0,0,0,1,0
256,23,66215,1.0,25000,15.37,1,0.32,2,0,0,0,1,0,0,0,1,0,0,0,1
257,25,90000,9.0,25000,10.99,0,0.28,4,0,0,0,1,0,0,0,1,0,0,1,0
258,21,15000,0.0,6200,7.9,1,0.41,2,0,0,1,0,0,0,1,0,0,0,1,0
259,26,180000,2.0,25000,10.99,0,0.14,4,0,0,1,0,0,0,0,0,1,0,1,0
260,24,180000,8.0,21000,11.48,0,0.12,3,0,0,1,0,0,1,0,0,0,0,1,0
261,25,180000,9.0,20000,14.26,0,0.11,4,0,0,1,0,0,0,0,1,0,0,0,1
262,26,180000,0.0,10000,8.0,0,0.06,4,0,0,1,0,0,0,1,0,0,0,1,0
263,25,180000,3.0,9950,11.26,0,0.06,2,1,0,0,0,0,0,0,0,0,1,1,0
264,23,15000,7.0,4475,11.011647430239664,1,0.3,4,0,0,1,0,0,0,0,1,0,0,1,0
265,23,78000,2.0,25000,16.32,1,0.32,3,0,0,0,1,0,0,0,0,0,1,0,1
266,25,66300,3.0,25000,17.93,1,0.32,4,0,0,0,1,0,0,0,1,0,0,0,1
267,23,90000,0.0,25000,11.36,0,0.28,3,0,0,0,1,1,0,0,0,0,0,1,0
268,24,79000,9.0,25000,14.96,1,0.32,4,0,0,0,1,1,0,0,0,0,0,0,1
269,24,91800,4.0,25000,13.43,0,0.27,3,0,0,0,1,0,0,0,0,1,0,0,1
270,25,92000,6.0,25000,12.69,0,0.27,3,0,0,0,1,0,0,1,0,0,0,1,0
